id,organization,account,service_key,short_description,long_description,service_display_name,service_url,language,agencies,tags,created_at,updated_at
218815,Ramstein AB Military Personnel Flight - MPF,ramstein-ab-military-personnel-flight-mpf-101154698427709,facebook,Military Personnel Flight,Here you will find the most recent personnel information coming from different section from the MPF.,Facebook,https://www.facebook.com/Ramstein-AB-Military-Personnel-Flight-MPF-101154698427709,English,"[{""id""=>1501, ""name""=>""Department of the Air Force"", ""info_url""=>""http://www.af.mil/""}]",[],2020-11-06T13:01:12.000Z,2020-11-06T13:01:29.000Z
209798,Peace Corps Zambia,"",facebook,Peace Corps Zambia is a US government organization,"Peace Corps Zambia is a US government organization, formalized by country agreement in 1993 and places Volunteers in communities to work with communities on health, education, environment and agriculture.",Facebook,https://www.facebook.com/peacecorpszambia/,English,"[{""id""=>671, ""name""=>""Peace Corps"", ""info_url""=>""http://www.peacecorps.gov""}]",[],2017-07-19T14:44:25.000Z,2020-11-06T09:58:29.000Z
218814,peacecorps_zambia,peacecorps_zambia,instagram,Peace Corps Instagram Zambia,"Walk with us to learn about our warm culture and Volunteer experiences as we journey through Zambia, the real Africa.",Instagram,https://www.instagram.com/peacecorps_zambia/,English,"[{""id""=>671, ""name""=>""Peace Corps"", ""info_url""=>""http://www.peacecorps.gov""}]",[],2020-11-06T09:50:00.000Z,2020-11-06T09:50:00.000Z
213942,@NationalNAGPRA,nationalnagpra,twitter,The official twitter account of the National NAGPRA Program,"The official twitter account of the National NAGPRA Program.  The role of the National NAGPRA Program: 

Support the Review Committee established to monitor NAGPRA compliance, make findings of fact, facilitates the resolution of disputes, consults on regulations, and reports to Congress

Draft regulations to implement NAGPRA, in consultation with the Review Committee

Assist Federal agencies where there are excavations and discoveries of cultural items on Federal and Indian lands

Publish notices for museums and Federal agencies in the Federal Register

Create and maintain databases for NAGPRA summaries and inventories, including the Culturally Unidentifiable (CUI) Inventories Database, and to identify consulting parties

Administer grants to museums, Indian tribes, and Native Hawaiian organizations in fulfilling NAGPRA

Provide training and outreach programs to tribes, institutions, Federal agencies, and the public

Staff the Secretary of the Interior on civil penalties imposed on institutions that fail to comply with NAGPRA",Twitter,https://www.twitter.com/nationalnagpra,English,"[{""id""=>411, ""name""=>""Department of the Interior (DOI)"", ""info_url""=>""http://www.doi.gov""}, {""id""=>2021, ""name""=>""National Park Service (NPS)"", ""info_url""=>""http://www.nps.gov""}]","[{""id""=>24001, ""tag_text""=>""nagpra""}, {""id""=>24101, ""tag_text""=>""nagpra summaries""}, {""id""=>24091, ""tag_text""=>""nagpra inventories""}, {""id""=>711, ""tag_text""=>""grants""}, {""id""=>3503, ""tag_text""=>""cultural resources""}, {""id""=>2399, ""tag_text""=>""compliance""}, {""id""=>3246, ""tag_text""=>""technical assistance""}]",2018-05-07T17:10:05.000Z,2020-11-04T19:17:51.000Z
213928,"",nationalnagpra,facebook,"","",Facebook,https://www.facebook.com/nationalnagpra,English,"[{""id""=>411, ""name""=>""Department of the Interior (DOI)"", ""info_url""=>""http://www.doi.gov""}, {""id""=>2021, ""name""=>""National Park Service (NPS)"", ""info_url""=>""http://www.nps.gov""}]",[],2018-05-07T16:50:32.000Z,2020-11-04T19:17:36.000Z
181561,National NAGPRA Program,nationalnagpra,youtube,This is the official YouTube Channel of the National NAGPRA Program.,"As part of the National NAGPRA Training Video Series, the eight videos range from grant-writing tips, first-person narratives, program statistics, anecdotal evidence, and in-depth engaging coverage of the entirety of the law and its consequences. In addition, the National NAGPRA Program is offering a series of webinars on various topics related to the implementation of NAGPRA.",YouTube,https://www.youtube.com/user/NationalNAGPRA,English,"[{""id""=>2021, ""name""=>""National Park Service (NPS)"", ""info_url""=>""http://www.nps.gov""}, {""id""=>411, ""name""=>""Department of the Interior (DOI)"", ""info_url""=>""http://www.doi.gov""}]","[{""id""=>3768, ""tag_text""=>""nps""}, {""id""=>3767, ""tag_text""=>""national park service""}, {""id""=>14861, ""tag_text""=>""park""}, {""id""=>3499, ""tag_text""=>""parks""}, {""id""=>1261, ""tag_text""=>""recreation""}, {""id""=>24001, ""tag_text""=>""nagpra""}, {""id""=>24011, ""tag_text""=>""native american graves protection and repatriation act""}, {""id""=>24021, ""tag_text""=>""tribes""}, {""id""=>1071, ""tag_text""=>""museums""}, {""id""=>24031, ""tag_text""=>""federal agencies""}, {""id""=>24041, ""tag_text""=>""native hawaiian organizations""}, {""id""=>24051, ""tag_text""=>""notices of inventory completion""}, {""id""=>24061, ""tag_text""=>""notices of intent to repatriate""}, {""id""=>24071, ""tag_text""=>""notice of intended disposition""}, {""id""=>24081, ""tag_text""=>""43 cfr 10""}, {""id""=>24091, ""tag_text""=>""nagpra inventories""}, {""id""=>24101, ""tag_text""=>""nagpra summaries""}]",2016-04-27T00:16:26.000Z,2020-11-04T19:16:26.000Z
218812,31st Aircraft Maintenance Squadron,31st-aircraft-maintenance-squadron-108788227577454,facebook,Squadron Facebook Page,Short description fits long description.,Facebook,https://www.facebook.com/31st-Aircraft-Maintenance-Squadron-108788227577454,English,"[{""id""=>1501, ""name""=>""Department of the Air Force"", ""info_url""=>""http://www.af.mil/""}]",[],2020-11-04T10:50:29.000Z,2020-11-04T10:50:38.000Z
218811,Fort Gordon MWR,"",linkedin,Fort Gordon MWR,"The official LinkedIn account for Fort Gordon Family and Morale, Welfare and Recreation.",LinkedIn,http://www.linkedin.com/company/fort-gordon-mwr/,English,"[{""id""=>151, ""name""=>""Department of Defense (DOD)"", ""info_url""=>""http://www.defense.gov""}]",[],2020-11-02T15:20:56.000Z,2020-11-02T15:20:58.000Z
218810,Fort Gordon MWR,fortgordonmwr,twitter,Fort Gordon MWR,"The official Twitter page of Fort Gordon Family and Morale, Welfare and Recreation.",Twitter,http://twitter.com/FortGordonMWR,English,"[{""id""=>151, ""name""=>""Department of Defense (DOD)"", ""info_url""=>""http://www.defense.gov""}]",[],2020-11-02T15:13:17.000Z,2020-11-02T15:13:38.000Z
218809,FortGordonMWR,fortgordonmwr,instagram,Fort Gordon MWR,"The official Instagram page for Fort Gordon Family and Morale, Welfare and Recreation.",Instagram,http://instagram.com/fortgordonmwr,English,"[{""id""=>151, ""name""=>""Department of Defense (DOD)"", ""info_url""=>""http://www.defense.gov""}]",[],2020-11-02T15:10:25.000Z,2020-11-02T15:10:38.000Z
218808,Fort Gordon MWR,fortgordonmwr,facebook,Fort Gordon Family and MWR,"Official Fort Gordon Morale, Welfare and Recreation page. MWR hosts a wide variety of activities for all tastes. Whether you're an outdoors-man, a consumer of fine cuisine, or just looking for a fun filled day with your family, one of our many facilities is sure to meet your needs.",Facebook,https://www.facebook.com/FortGordonMWR,English,"[{""id""=>151, ""name""=>""Department of Defense (DOD)"", ""info_url""=>""http://www.defense.gov""}]",[],2020-11-02T15:06:37.000Z,2020-11-02T15:07:04.000Z
218807,647th Security Forces Squadron,647sfsofficial,facebook,Squadron Facebook Page,"",Facebook,https://www.facebook.com/647SFSOfficial,English,"[{""id""=>1501, ""name""=>""Department of the Air Force"", ""info_url""=>""http://www.af.mil/""}]",[],2020-10-30T04:17:20.000Z,2020-10-30T04:17:20.000Z
218806,@NOAAData,noaadata,instagram,Presenting NOAA data and visualizations on instagram,"Featuring visualizations of key environmental datasets, recent research, and information to encourage a greater understanding of Earth. (NCEI/NESDIS)
",Instagram,https://www.instagram.com/noaadata/?hl=en,English,"[{""id""=>2011, ""name""=>""National Oceanic and Atmospheric Administration (NOAA)"", ""info_url""=>""http://www.noaa.gov/""}]",[],2020-10-29T18:48:08.000Z,2020-10-29T18:51:09.000Z
