target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.madeinamerica.gov,madeinamerica.gov,.gov,false,https://www.madeinamerica.gov/,madeinamerica.gov,gov,www.madeinamerica.gov,true,200,text/html,true,true,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,true,"[""gov"",""dap""]",,2024-07-27T03:00:51.588Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,true,cloud.gov,WordPress,,,false,,true,"{""agency"":""GSA"",""subagency"":""MIA""}","[""dap.digitalgov.gov"",""gov-bam.nr-data.net"",""js-agent.newrelic.com"",""touchpoints.app.cloud.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",6,"["".madeinamerica.gov""]",true,0.0000752705078125,427.599,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Made in America,"Made in America homepage. Information about Made in America policies, the Made in America executive order, doing business with the U.S. Government, and nonavailability waivers.",,Made in America,"Made in America homepage. Information about Made in America policies, the Made in America executive order, doing business with the U.S. Government, and nonavailability waivers.",,,/static/assets/mia_og_card.png,website,https://www.madeinamerica.gov/,https://www.madeinamerica.gov/,en,"",true,false,false,https://www.madeinamerica.gov/robots.txt,false,404,text/html,,,,false,true,https://www.madeinamerica.gov/sitemap.xml/,true,200,application/xml,,,,20,0,40,0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-card-group"",""usa-footer"",""usa-form"",""usa-header"",""usa-hero"",""usa-icon"",""usa-identifier"",""usa-label"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-container"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-skipnav"",""usa-sr-only"",""usa-textarea""]",true,70,2,20,,0,152
proxylb.us-east-1.infr.search.usa.gov,usa.gov,.gov,true,https://www.usa.gov/,usa.gov,gov,www.usa.gov,true,200,text/html,true,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T04:08:25.111Z,completed,completed,completed,completed,completed,completed,completed,completed,false,cloudfront.net,,,,true,true,true,"{""agency"":""GSA"",""subagency"":""TTS""}","[""51567.global.siteimproveanalytics.io"",""cdn.jsdelivr.net"",""cdnjs.cloudflare.com"",""dap.digitalgov.gov"",""gov1.siteintercept.qualtrics.com"",""script.crazyegg.com"",""search.usa.gov"",""siteimproveanalytics.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""znbabnroqffo1d7xq-cemgsa.gov1.siteintercept.qualtrics.com""]",11,"["".usa.gov"",""www.usa.gov""]",true,0.047477095133463536,655,"[""about"",""foia"",""privacy"",""usa.gov"",""/es""]","[""about us"",""accessibility"",""foia"",""privacy policy"",""español""]",true,true,Making government services easier to find | USAGov,"Find government benefits, services, agencies, and information at USA.gov. Contact elected officials. Learn about passports, Social Security, taxes, and more.",,Making government services easier to find | USAGov,"Find government benefits, services, agencies, and information at USA.gov. Contact elected officials. Learn about passports, Social Security, taxes, and more.",,,https://www.usa.gov/themes/custom/usagov/images/Logo_USAGov.png,website,https://www.usa.gov/,https://www.usa.gov/,en,"en,es",true,true,false,https://proxylb.us-east-1.infr.search.usa.gov/robots.txt,true,200,text/plain,65,,,false,true,https://www.usa.gov/,true,200,text/html,,,,20,0,0,2,"[""usa-accordion"",""usa-banner"",""usa-banner-inner"",""usa-button"",""usa-card-group"",""usa-footer"",""usa-form"",""usa-header"",""usa-icon"",""usa-identifier"",""usa-input"",""usa-label"",""usa-link"",""usa-list"",""usa-logo"",""usa-logo-text"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-sign-up"",""usa-skipnav"",""usa-social-link"",""usa-sr-only""]",true,70,4,20,v3.0.1,100,216
frontend.18f.gov,18f.gov,.gov,false,https://guides.18f.gov/engineering/our-approach/frontend/,18f.gov,gov,guides.18f.gov,true,200,text/html,true,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T01:56:11.328Z,completed,completed,completed,completed,completed,completed,completed,completed,true,cloudfront.net,cloud.gov Pages,,,true,true,true,"{""agency"":""GSA"",""subagency"":""TTS""}","[""dap.digitalgov.gov"",""unpkg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4,"["".18f.gov""]",true,0.17923120833333334,245,"[""about"",""fear"",""foia"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",true,true,Front-end disciplines | 18F Engineering,"",,Front-end disciplines | 18F Engineering,"",,,,article,/engineering/our-approach/frontend/,/engineering/our-approach/frontend/,en,"",true,false,false,https://guides.18f.gov/engineering/our-approach/frontend/,true,200,text/html,,,,false,false,https://guides.18f.gov/engineering/our-approach/frontend/,true,200,text/html,,,,0,0,0,0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-current"",""usa-footer"",""usa-header"",""usa-icon"",""usa-identifier"",""usa-input"",""usa-layout-docs"",""usa-layout-docs-sidenav"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-sidenav"",""usa-skipnav"",""usa-sr-only""]",true,50,1,20,,0,71
api-all-the-x.18f.gov,18f.gov,.gov,true,https://github.com/18F/API-All-the-X,github.com,com,github.com,true,200,text/html,false,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T03:01:49.250Z,completed,completed,completed,completed,completed,completed,completed,completed,true,cloudfront.net,,,,true,,false,,"[""api.github.com"",""avatars.githubusercontent.com"",""collector.github.com"",""github.githubassets.com""]",4,"["".github.com"",""github.com""]",true,0.0016725693359374999,369.599,"[""about"",""privacy""]",,true,true,GitHub - 18F/API-All-the-X: Resources and Materials for the /Developer Program,Resources and Materials for the /Developer Program - 18F/API-All-the-X,,GitHub - 18F/API-All-the-X: Resources and Materials for the /Developer Program,Resources and Materials for the /Developer Program - 18F/API-All-the-X,,,https://opengraph.githubassets.com/8eae71e250c7df70950dca542c44b47fa0596b9b585790e9ae45e82796fd8f4e/18F/API-All-the-X,object,https://github.com/18F/API-All-the-X,https://github.com/18F/API-All-the-X,en,"",true,false,true,https://github.com/18F/API-All-the-X,true,200,text/html,,,,false,true,https://github.com/18F/API-All-the-X,true,200,text/html,,,,0,0,0,0,,false,0,0,0,,0,0
touchpoints.digital.gov,digital.gov,.gov,false,https://touchpoints.digital.gov/,digital.gov,gov,touchpoints.digital.gov,true,200,text/html,true,true,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,true,"[""dap"",""omb_idea""]",true,2024-07-27T01:31:01.594Z,completed,completed,completed,completed,completed,completed,completed,completed,true,cloudfront.net,cloud.gov Pages,,,false,,true,"{""agency"":""GSA"",""subagency"":""TTS""}","[""cg-1b082c1b-3db7-477f-9ca5-bd51a786b41e.s3-us-gov-west-1.amazonaws.com"",""dap.digitalgov.gov"",""touchpoints.app.cloud.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5,"["".digital.gov""]",true,0.2490117370605469,233.9,"[""about"",""fear"",""foia"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",true,true,Touchpoints,Touchpoints is used to collect customer feedback and manage federal CX (Customer Experience) data.,"Touchpoints, .gov, U.S. Federal Government, GSA, CX, Customer Experience, Data Collections, Service Design",Touchpoints,Touchpoints is used to collect customer feedback and manage federal CX (Customer Experience) data.,,,/assets/img/touchpoints-card.png,website,https://touchpoints.digital.gov,/,en,"",true,true,false,https://touchpoints.digital.gov/robots.txt,true,200,text/plain,14,,,true,false,https://touchpoints.digital.gov/sitemap.xml,true,200,application/xml,417,3,0,20,0,0,0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-footer"",""usa-form"",""usa-header"",""usa-identifier"",""usa-input"",""usa-intro"",""usa-label"",""usa-layout-docs"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-skipnav"",""usa-textarea""]",true,50,8,20,v2.14.0,100,198
fpki.idmanagement.gov,idmanagement.gov,.gov,true,https://www.idmanagement.gov/fpki/,idmanagement.gov,gov,www.idmanagement.gov,true,200,text/html,true,false,General Services Administration,"GSA, IC, OGP Web Portfolio",Executive,false,"[""pulse""]",,2024-07-27T00:50:02.721Z,completed,completed,completed,completed,completed,completed,completed,completed,true,,cloud.gov Pages,,,true,,true,"{""agency"":""GSA""}","[""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4,"["".idmanagement.gov""]",true,0.21271520406087238,512.8,"[""about"",""foia"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",true,true,Federal PKI Governance and Compliance Audit Information,IDManagement.gov is a collaboration between the Federal CIO Council and GSA to develop and share leading practices in protecting federal IT systems.,,Modernize Federal Identities,IDManagement.gov is a collaboration between the Federal CIO Council and GSA to develop and share leading practices in protecting federal IT systems.,,,https://www.idmanagement.gov/assets/img/logo-gsa.png,website,https://www.idmanagement.gov,https://www.idmanagement.gov/fpki/,en,"",true,false,true,https://www.idmanagement.gov/fpki/,true,200,text/html,,,,false,true,https://www.idmanagement.gov/fpki/,true,200,text/html,,,,20,0,0,0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-button"",""usa-current"",""usa-header"",""usa-identifier"",""usa-input"",""usa-layout-docs"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-sidenav"",""usa-sidenav-edit"",""usa-skipnav"",""usa-sr-only"",""usa-sticky-sidenav"",""usa-table""]",true,60,2,20,v3.3.0,100,202
design-principles-guide.18f.gov,18f.gov,.gov,true,https://github.com/18F/design-principles-guide,github.com,com,github.com,true,200,text/html,false,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T03:02:06.644Z,completed,completed,completed,completed,completed,completed,completed,completed,true,cloudfront.net,,,,true,,false,,"[""api.github.com"",""avatars.githubusercontent.com"",""collector.github.com"",""github.githubassets.com""]",4,"["".github.com"",""github.com""]",true,0.0017184635416666668,194.899,"[""privacy"",""/es""]",,true,true,GitHub - 18F/design-principles-guide,Contribute to 18F/design-principles-guide development by creating an account on GitHub.,,GitHub - 18F/design-principles-guide,Contribute to 18F/design-principles-guide development by creating an account on GitHub.,,,https://opengraph.githubassets.com/c95d9a791878a7a6f30f53587d1dc52a6959363fa8a27da3b07d6dd6ed9675a0/18F/design-principles-guide,object,https://github.com/18F/design-principles-guide,https://github.com/18F/design-principles-guide,en,"",true,false,true,https://github.com/18F/design-principles-guide,true,200,text/html,,,,false,true,https://github.com/18F/design-principles-guide,true,200,text/html,,,,0,0,0,0,,false,0,0,0,,0,0
fedspendingtransparency.18f.gov,18f.gov,.gov,true,https://github.com/fedspendingtransparency/fedspendingtransparency.github.io,github.com,com,github.com,true,200,text/html,false,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T04:10:29.663Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,true,cloudfront.net,,,,true,,false,,"[""api.github.com"",""avatars.githubusercontent.com"",""camo.githubusercontent.com"",""collector.github.com"",""github.githubassets.com""]",5,"["".github.com"",""github.com""]",true,0.006463724446614583,599.199,"[""about"",""privacy""]",,true,true,GitHub - fedspendingtransparency/fedspendingtransparency.github.io: Federal Spending Transparency,Federal Spending Transparency. Contribute to fedspendingtransparency/fedspendingtransparency.github.io development by creating an account on GitHub.,,GitHub - fedspendingtransparency/fedspendingtransparency.github.io: Federal Spending Transparency,Federal Spending Transparency. Contribute to fedspendingtransparency/fedspendingtransparency.github.io development by creating an account on GitHub.,,,https://opengraph.githubassets.com/28b0c07448672d6e588ae4292b5748a49bb7f0bd968a69f0bd4bca1dd914f0c6/fedspendingtransparency/fedspendingtransparency.github.io,object,https://github.com/fedspendingtransparency/fedspendingtransparency.github.io,https://github.com/fedspendingtransparency/fedspendingtransparency.github.io,en,"",true,false,true,https://github.com/fedspendingtransparency/fedspendingtransparency.github.io,true,200,text/html,,,,false,true,https://github.com/fedspendingtransparency/fedspendingtransparency.github.io,true,200,text/html,,,,0,0,0,0,,false,0,0,0,,0,0
climate-data-user-study.18f.gov,18f.gov,.gov,true,https://github.com/18F/climate-labs,github.com,com,github.com,true,200,text/html,false,false,General Services Administration,"GSA,FAS,Technology Transformation Service",Executive,false,"[""pulse""]",,2024-07-27T03:02:39.256Z,completed,completed,completed,completed,completed,completed,completed,completed,true,cloud.gov,,,,true,,false,,"[""api.github.com"",""avatars.githubusercontent.com"",""collector.github.com"",""github.githubassets.com""]",4,"["".github.com"",""github.com""]",true,0.00173851220703125,372.2,"[""privacy""]",,true,true,GitHub - 18F/climate-labs: A climate information user study and report,A climate information user study and report. Contribute to 18F/climate-labs development by creating an account on GitHub.,,GitHub - 18F/climate-labs: A climate information user study and report,A climate information user study and report. Contribute to 18F/climate-labs development by creating an account on GitHub.,,,https://opengraph.githubassets.com/7a5748544d3e550f3ba212796f6af049d5a6fc4f0c3f1851347c103f44f29f4c/18F/climate-labs,object,https://github.com/18F/climate-labs,https://github.com/18F/climate-labs,en,"",true,false,true,https://github.com/18F/climate-labs,true,200,text/html,,,,false,true,https://github.com/18F/climate-labs,true,200,text/html,,,,0,0,0,0,,false,0,0,0,,0,0
fmswsec.fas.gsa.gov,gsa.gov,.gov,false,https://fmswsec.fas.gsa.gov/,gsa.gov,gov,fmswsec.fas.gsa.gov,true,200,unknown,true,true,General Services Administration,"GSA, IDI, ECAS II",Executive,true,"[""pulse"",""omb_idea""]",false,2024-07-27T06:28:06.734Z,completed,completed,completed,completed,completed,completed,completed,completed,true,,,,,false,,false,,,0,,false,0,140,,,false,true,"",,,,,,,,,,,,"",false,false,false,https://fmswsec.fas.gsa.gov/robots.txt,false,404,text/html,,,,false,false,https://fmswsec.fas.gsa.gov/sitemap.xml,false,404,text/html,,,,0,0,0,0,,false,0,0,0,,0,0
